script_name,primary_goal,question1,question2,question3,purpose,date.of.simulation,target.YOY,down_sample,max.HSPs,max.POPs,HS.only,PO.only,fixed.parameters,estimated.parameters,seeds,thinning_rate,posterior_samples,burn_in,survival.prior.info,lambda.prior.info,psi.prior,abundance.prior
scenario_2.2.1_lambda.trial_sample.all.juvenile.ages_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.1_lambda.trial_sample.all.juvenile.ages_change.est.yr,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.1_lambda.trial_target.YOY_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.1_lambda.trial_target.YOY_change.est.yr,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.2_lambda.extreme_sample.ALL.ages_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.2_lambda.extreme_sample.ALL.ages_change.est.yr,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.2_lambda.extreme_sample.all.juvenile.ages_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.2_lambda.extreme_sample.all.juvenile.ages_change.est.yr,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.2_lambda.extreme_target.YOY_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.2_lambda.extreme_target.YOY_change.est.yr,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.3_lambda.extreme_sample.ALL.ages_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.3_lambda.extreme_sample.ALL.ages_change.est.yr,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.3_lambda.extreme_sample.all.juvenile.ages_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.3_lambda.extreme_sample.all.juvenile.ages_change.est.yr,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_2.2.3_lambda.extreme_target.YOY_change.est.yr.R,Test model performance with changing population size,How does a base-case CKMR model perform with changing population size?,Do we need to account for this in a CKMR model for elasmobranchs?,Does lambda become more important if we change the year of estimation?,scenario_2.2.3_lambda.extreme_target.YOY_change.est.yr,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.1.1_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.1.1_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.1.1_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.1.1_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.1.1_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.1.1_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.1.2_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.1.2_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.1.2_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.1.2_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.1.2_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.1.2_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,NA,diffuse Normal w diffuse Uniform hyperprior
scenario_3.2.1_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.2.1_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,psi",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.5 - 0.99,diffuse Normal w diffuse Uniform hyperprior
scenario_3.2.1_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.2.1_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.5 - 0.99,diffuse Normal w diffuse Uniform hyperprior
scenario_3.2.1_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.2.1_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.5 - 0.99,diffuse Normal w diffuse Uniform hyperprior
scenario_3.2.2_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.2.2_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,psi,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.5 - 0.99,diffuse Normal w diffuse Uniform hyperprior
scenario_3.2.2_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.2.2_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.5 - 0.99,diffuse Normal w diffuse Uniform hyperprior
scenario_3.2.2_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.2.2_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.5 - 0.99,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.1_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.1_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,psi",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.75 - 1.0,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.1_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.1_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.75 - 1.0,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.1_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.1_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.75 - 1.0,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.2_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.2_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,none,"Nf,Nm,survival,psi,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.75 - 1.0,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.2_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.2_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.75 - 1.0,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.2_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.2_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,none,"Nf,Nm,survival,psi,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Uniform: 0.75 - 1.0,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.3_SB_sample.ALL.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.3_SB_sample.ALL.ages,10Aug2022,no,no,NA,NA,no,no,psi,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Fixed,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.3_SB_sample.all.juvenile.ages.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.3_SB_sample.all.juvenile.ages,10Aug2022,no,no,NA,NA,yes,no,psi,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Fixed,diffuse Normal w diffuse Uniform hyperprior
scenario_3.3.3_SB_target.YOY.R,Test model performance with biennial breeding,How does a base-case CKMR model perform with biennial breeding and zero non-conformists?,Do we need to account for this in a CKMR model for elasmobranchs?,How does the model perform with and without lambda?,scenario_3.3.3_SB_target.YOY,10Aug2022,yes,no,NA,NA,yes,no,psi,"Nf,Nm,survival,lambda",Seeds2022.04.15,20,40000,50000,NA,NA,Fixed,diffuse Normal w diffuse Uniform hyperprior
